2026-05-16 06:03:12,951 | DEBUG | checker | Signal 2 not installable on this platform.
2026-05-16 06:05:06,143 | DEBUG | checker | Rate limited; backing off 1.04s (attempt 0).
2026-05-16 06:05:06,318 | DEBUG | checker | Rate limited; backing off 4.45s (attempt 2).
2026-05-16 06:05:07,195 | DEBUG | checker | Rate limited; backing off 2.46s (attempt 1).
2026-05-16 06:05:07,449 | DEBUG | checker | Rate limited; backing off 8.10s (attempt 3).
2026-05-16 06:05:07,540 | DEBUG | checker | Rate limited; backing off 8.26s (attempt 3).
2026-05-16 06:05:07,687 | DEBUG | checker | Rate limited; backing off 8.46s (attempt 3).
2026-05-16 06:05:07,841 | DEBUG | checker | Rate limited; backing off 4.05s (attempt 2).
2026-05-16 06:05:07,866 | DEBUG | checker | Rate limited; backing off 4.15s (attempt 2).
2026-05-16 06:05:08,500 | DEBUG | checker | Rate limited; backing off 1.17s (attempt 0).
2026-05-16 06:05:10,795 | INFO | checker | AVAILABLE: inu5 (len=4, score=75)
2026-05-16 06:05:11,208 | INFO | checker | AVAILABLE: inu9 (len=4, score=75)
2026-05-16 06:05:11,943 | INFO | checker | AVAILABLE: 9oni (len=4, score=75)
2026-05-16 06:05:13,941 | DEBUG | checker | Rate limited; backing off 1.13s (attempt 0).
2026-05-16 06:05:14,026 | DEBUG | checker | Rate limited; backing off 1.10s (attempt 0).
2026-05-16 06:05:14,108 | DEBUG | checker | Rate limited; backing off 1.20s (attempt 0).
2026-05-16 06:05:14,109 | DEBUG | checker | Rate limited; backing off 1.14s (attempt 0).
2026-05-16 06:05:14,430 | DEBUG | checker | Rate limited; backing off 1.25s (attempt 0).
2026-05-16 06:05:15,080 | DEBUG | checker | Rate limited; backing off 2.38s (attempt 1).
2026-05-16 06:05:15,564 | DEBUG | checker | Rate limited; backing off 16.36s (attempt 4).
2026-05-16 06:05:16,113 | DEBUG | checker | Rate limited; backing off 1.10s (attempt 0).
2026-05-16 06:05:17,077 | INFO | checker | AVAILABLE: 5oni (len=4, score=75)
2026-05-16 06:05:18,351 | INFO | checker | AVAILABLE: 9sho (len=4, score=75)
2026-05-16 06:05:18,703 | DEBUG | checker | Rate limited; backing off 1.14s (attempt 0).
2026-05-16 06:05:18,887 | DEBUG | checker | Rate limited; backing off 1.36s (attempt 0).
2026-05-16 06:05:18,934 | DEBUG | checker | Rate limited; backing off 1.09s (attempt 0).
2026-05-16 06:05:19,023 | DEBUG | checker | Rate limited; backing off 1.32s (attempt 0).
2026-05-16 06:05:19,074 | DEBUG | checker | Rate limited; backing off 1.08s (attempt 0).
2026-05-16 06:05:19,146 | DEBUG | checker | Rate limited; backing off 1.10s (attempt 0).
2026-05-16 06:05:20,028 | DEBUG | checker | Rate limited; backing off 2.21s (attempt 1).
2026-05-16 06:05:20,160 | DEBUG | checker | Rate limited; backing off 2.16s (attempt 1).
2026-05-16 06:05:20,248 | DEBUG | checker | Rate limited; backing off 1.23s (attempt 0).
2026-05-16 06:05:20,446 | DEBUG | checker | Rate limited; backing off 2.49s (attempt 1).
2026-05-16 06:05:20,485 | DEBUG | checker | Rate limited; backing off 1.34s (attempt 0).
2026-05-16 06:05:20,558 | DEBUG | checker | Rate limited; backing off 2.09s (attempt 1).
2026-05-16 06:05:21,069 | DEBUG | checker | Rate limited; backing off 2.45s (attempt 1).
2026-05-16 06:05:21,212 | DEBUG | checker | Rate limited; backing off 1.21s (attempt 0).
2026-05-16 06:05:21,355 | DEBUG | checker | Rate limited; backing off 1.40s (attempt 0).
2026-05-16 06:05:21,498 | DEBUG | checker | Rate limited; backing off 2.24s (attempt 1).
2026-05-16 06:05:21,844 | DEBUG | checker | Rate limited; backing off 2.37s (attempt 1).
2026-05-16 06:05:22,245 | DEBUG | checker | Rate limited; backing off 4.31s (attempt 2).
2026-05-16 06:05:22,470 | DEBUG | checker | Rate limited; backing off 2.32s (attempt 1).
2026-05-16 06:05:22,661 | DEBUG | checker | Rate limited; backing off 4.28s (attempt 2).
2026-05-16 06:05:22,900 | DEBUG | checker | Rate limited; backing off 1.43s (attempt 0).
2026-05-16 06:05:23,230 | DEBUG | checker | Rate limited; backing off 4.42s (attempt 2).
2026-05-16 06:05:23,531 | DEBUG | checker | Rate limited; backing off 4.18s (attempt 2).
2026-05-16 06:05:24,030 | INFO | checker | AVAILABLE: 8emi (len=4, score=75)
2026-05-16 06:05:24,238 | DEBUG | checker | Rate limited; backing off 4.34s (attempt 2).
2026-05-16 06:05:24,812 | DEBUG | checker | Rate limited; backing off 1.46s (attempt 0).
2026-05-16 06:05:24,813 | DEBUG | checker | Rate limited; backing off 4.17s (attempt 2).
2026-05-16 06:05:24,914 | DEBUG | checker | Rate limited; backing off 1.29s (attempt 0).
2026-05-16 06:05:25,305 | DEBUG | checker | Rate limited; backing off 1.24s (attempt 0).
2026-05-16 06:05:27,285 | INFO | checker | AVAILABLE: 4tai (len=4, score=75)
2026-05-16 06:05:28,372 | INFO | checker | AVAILABLE: ito8 (len=4, score=75)
2026-05-16 06:05:28,667 | DEBUG | checker | Rate limited; backing off 1.23s (attempt 0).
2026-05-16 06:05:28,941 | DEBUG | checker | Rate limited; backing off 1.44s (attempt 0).
2026-05-16 06:05:29,076 | DEBUG | checker | Rate limited; backing off 1.17s (attempt 0).
2026-05-16 06:05:29,717 | DEBUG | checker | Rate limited; backing off 1.42s (attempt 0).
2026-05-16 06:05:29,787 | DEBUG | checker | Rate limited; backing off 1.29s (attempt 0).
2026-05-16 06:05:29,939 | DEBUG | checker | Rate limited; backing off 1.23s (attempt 0).
2026-05-16 06:05:30,120 | DEBUG | checker | Rate limited; backing off 1.35s (attempt 0).
2026-05-16 06:05:30,455 | DEBUG | checker | Rate limited; backing off 2.32s (attempt 1).
2026-05-16 06:05:30,573 | DEBUG | checker | Rate limited; backing off 2.11s (attempt 1).
2026-05-16 06:05:30,582 | DEBUG | checker | Rate limited; backing off 1.13s (attempt 0).
2026-05-16 06:05:30,588 | DEBUG | checker | Rate limited; backing off 2.33s (attempt 1).
2026-05-16 06:05:30,838 | DEBUG | checker | Rate limited; backing off 1.13s (attempt 0).
2026-05-16 06:05:31,174 | DEBUG | checker | Rate limited; backing off 2.48s (attempt 1).
2026-05-16 06:05:31,268 | DEBUG | checker | Rate limited; backing off 2.00s (attempt 1).
2026-05-16 06:05:31,316 | DEBUG | checker | Rate limited; backing off 2.23s (attempt 1).
2026-05-16 06:05:31,477 | DEBUG | checker | Rate limited; backing off 2.03s (attempt 1).
2026-05-16 06:05:31,716 | DEBUG | checker | Rate limited; backing off 2.33s (attempt 1).
2026-05-16 06:05:31,971 | DEBUG | checker | Rate limited; backing off 2.37s (attempt 1).
2026-05-16 06:05:32,114 | DEBUG | checker | Rate limited; backing off 32.15s (attempt 5).
2026-05-16 06:05:32,699 | DEBUG | checker | Rate limited; backing off 4.02s (attempt 2).
2026-05-16 06:05:32,793 | DEBUG | checker | Rate limited; backing off 4.07s (attempt 2).
2026-05-16 06:05:32,929 | DEBUG | checker | Rate limited; backing off 4.28s (attempt 2).
2026-05-16 06:05:33,702 | DEBUG | checker | Rate limited; backing off 4.49s (attempt 2).
2026-05-16 06:05:34,043 | DEBUG | checker | Rate limited; backing off 4.30s (attempt 2).
2026-05-16 06:05:34,350 | DEBUG | checker | Rate limited; backing off 4.13s (attempt 2).
2026-05-16 06:05:34,436 | DEBUG | checker | Rate limited; backing off 1.00s (attempt 0).
2026-05-16 06:05:35,456 | DEBUG | checker | Rate limited; backing off 2.06s (attempt 1).
2026-05-16 06:05:35,456 | DEBUG | checker | Rate limited; backing off 1.01s (attempt 0).
2026-05-16 06:05:36,474 | DEBUG | checker | Rate limited; backing off 2.37s (attempt 1).
2026-05-16 06:05:36,554 | DEBUG | checker | Rate limited; backing off 1.48s (attempt 0).
2026-05-16 06:05:37,538 | DEBUG | checker | Rate limited; backing off 4.43s (attempt 2).
2026-05-16 06:05:37,708 | DEBUG | checker | Rate limited; backing off 1.00s (attempt 0).
2026-05-16 06:05:37,890 | DEBUG | checker | Rate limited; backing off 1.46s (attempt 0).
2026-05-16 06:05:37,935 | INFO | checker | AVAILABLE: 5yui (len=4, score=75)
2026-05-16 06:05:38,049 | DEBUG | checker | Rate limited; backing off 2.15s (attempt 1).
2026-05-16 06:05:38,244 | DEBUG | checker | Rate limited; backing off 8.38s (attempt 3).
2026-05-16 06:05:38,380 | DEBUG | checker | Rate limited; backing off 8.22s (attempt 3).
2026-05-16 06:05:38,763 | DEBUG | checker | Rate limited; backing off 2.43s (attempt 1).
2026-05-16 06:05:38,892 | DEBUG | checker | Rate limited; backing off 4.31s (attempt 2).
2026-05-16 06:05:39,387 | DEBUG | checker | Rate limited; backing off 2.31s (attempt 1).
2026-05-16 06:05:39,467 | DEBUG | checker | Rate limited; backing off 1.15s (attempt 0).
2026-05-16 06:05:39,515 | DEBUG | checker | Rate limited; backing off 1.18s (attempt 0).
2026-05-16 06:05:40,678 | DEBUG | checker | Rate limited; backing off 2.44s (attempt 1).
2026-05-16 06:05:40,742 | DEBUG | checker | Rate limited; backing off 2.40s (attempt 1).
2026-05-16 06:05:41,204 | DEBUG | checker | Rate limited; backing off 4.02s (attempt 2).
2026-05-16 06:05:41,734 | DEBUG | checker | Rate limited; backing off 4.06s (attempt 2).
2026-05-16 06:05:41,969 | DEBUG | checker | Rate limited; backing off 8.18s (attempt 3).
2026-05-16 06:05:43,117 | DEBUG | checker | Rate limited; backing off 4.45s (attempt 2).
2026-05-16 06:05:43,228 | DEBUG | checker | Rate limited; backing off 8.41s (attempt 3).
2026-05-16 06:05:44,280 | DEBUG | checker | Rate limited; backing off 1.27s (attempt 0).
2026-05-16 06:05:44,360 | DEBUG | checker | Rate limited; backing off 1.35s (attempt 0).
2026-05-16 06:05:45,617 | DEBUG | checker | Rate limited; backing off 2.25s (attempt 1).
2026-05-16 06:05:45,773 | DEBUG | checker | Rate limited; backing off 2.21s (attempt 1).
2026-05-16 06:05:45,841 | DEBUG | checker | Rate limited; backing off 8.07s (attempt 3).
2026-05-16 06:05:46,205 | INFO | checker | AVAILABLE: 8inu (len=4, score=75)
2026-05-16 06:05:46,553 | DEBUG | checker | Rate limited; backing off 1.05s (attempt 0).
2026-05-16 06:05:46,681 | DEBUG | checker | Rate limited; backing off 16.05s (attempt 4).
2026-05-16 06:05:46,682 | DEBUG | checker | Rate limited; backing off 16.05s (attempt 4).
2026-05-16 06:05:47,607 | DEBUG | checker | Rate limited; backing off 8.15s (attempt 3).
2026-05-16 06:05:48,687 | DEBUG | checker | Rate limited; backing off 1.04s (attempt 0).
2026-05-16 06:05:48,956 | DEBUG | checker | Rate limited; backing off 1.26s (attempt 0).
2026-05-16 06:05:49,098 | DEBUG | checker | Rate limited; backing off 1.19s (attempt 0).
2026-05-16 06:05:49,787 | DEBUG | checker | Rate limited; backing off 2.19s (attempt 1).
2026-05-16 06:05:50,329 | DEBUG | checker | Rate limited; backing off 2.46s (attempt 1).
2026-05-16 06:05:51,220 | DEBUG | checker | Rate limited; backing off 1.42s (attempt 0).
2026-05-16 06:05:51,220 | DEBUG | checker | Rate limited; backing off 1.35s (attempt 0).
2026-05-16 06:05:52,576 | DEBUG | checker | Rate limited; backing off 2.22s (attempt 1).
2026-05-16 06:05:52,809 | DEBUG | checker | Rate limited; backing off 4.48s (attempt 2).
2026-05-16 06:05:53,184 | DEBUG | checker | Rate limited; backing off 1.22s (attempt 0).
2026-05-16 06:05:53,407 | INFO | checker | AVAILABLE: 3emi (len=4, score=75)
2026-05-16 06:05:53,679 | DEBUG | checker | Rate limited; backing off 1.26s (attempt 0).
2026-05-16 06:05:53,745 | DEBUG | checker | Rate limited; backing off 1.27s (attempt 0).
2026-05-16 06:05:54,811 | DEBUG | checker | Rate limited; backing off 4.08s (attempt 2).
2026-05-16 06:05:54,987 | DEBUG | checker | Rate limited; backing off 2.11s (attempt 1).
2026-05-16 06:05:54,994 | DEBUG | checker | Rate limited; backing off 1.30s (attempt 0).
2026-05-16 06:05:55,068 | DEBUG | checker | Rate limited; backing off 2.48s (attempt 1).
2026-05-16 06:05:55,114 | INFO | checker | AVAILABLE: 4nao (len=4, score=75)
2026-05-16 06:05:55,496 | DEBUG | checker | Rate limited; backing off 1.20s (attempt 0).
2026-05-16 06:05:55,803 | DEBUG | checker | Rate limited; backing off 16.18s (attempt 4).
2026-05-16 06:05:56,335 | DEBUG | checker | Rate limited; backing off 2.12s (attempt 1).
2026-05-16 06:05:56,751 | DEBUG | checker | Rate limited; backing off 2.21s (attempt 1).
2026-05-16 06:05:57,338 | DEBUG | checker | Rate limited; backing off 8.09s (attempt 3).
2026-05-16 06:05:58,082 | DEBUG | checker | Rate limited; backing off 1.06s (attempt 0).
2026-05-16 06:05:58,470 | DEBUG | checker | Rate limited; backing off 4.23s (attempt 2).
2026-05-16 06:05:58,566 | DEBUG | checker | Rate limited; backing off 1.47s (attempt 0).
2026-05-16 06:05:59,025 | DEBUG | checker | Rate limited; backing off 4.43s (attempt 2).
2026-05-16 06:05:59,887 | INFO | checker | AVAILABLE: oni8 (len=4, score=75)
2026-05-16 06:05:59,950 | DEBUG | checker | Rate limited; backing off 1.44s (attempt 0).
2026-05-16 06:06:00,063 | DEBUG | checker | Rate limited; backing off 2.05s (attempt 1).
2026-05-16 06:06:01,387 | DEBUG | checker | Rate limited; backing off 2.33s (attempt 1).
2026-05-16 06:06:01,638 | DEBUG | checker | Rate limited; backing off 1.37s (attempt 0).
2026-05-16 06:06:02,167 | DEBUG | checker | Rate limited; backing off 4.39s (attempt 2).
2026-05-16 06:06:02,753 | DEBUG | checker | Rate limited; backing off 8.15s (attempt 3).
2026-05-16 06:06:02,769 | DEBUG | checker | Rate limited; backing off 32.37s (attempt 5).
